1 2 3 4 5 6 7 - Even
1 2 3 4 5 7 6 - Odd
1 2 3 4 6 5 7 - Odd
1 2 3 4 6 7 5 - Even
1 2 3 4 7 5 6 - Even
1 2 3 4 7 6 5 - Odd
1 2 3 5 4 6 7 - Odd
1 2 3 5 4 7 6 - Even
1 2 3 5 6 4 7 - Even
1 2 3 5 6 7 4 - Odd
1 2 3 5 7 4 6 - Odd
1 2 3 5 7 6 4 - Even
1 2 3 6 4 5 7 - Even
1 2 3 6 4 7 5 - Odd
1 2 3 6 5 4 7 - Odd
1 2 3 6 5 7 4 - Even
1 2 3 6 7 4 5 - Even
1 2 3 6 7 5 4 - Odd
1 2 3 7 4 5 6 - Odd
1 2 3 7 4 6 5 - Even
1 2 3 7 5 4 6 - Even
1 2 3 7 5 6 4 - Odd
1 2 3 7 6 4 5 - Odd
1 2 3 7 6 5 4 - Even
1 2 4 3 5 6 7 - Odd
1 2 4 3 5 7 6 - Even
1 2 4 3 6 5 7 - Even
1 2 4 3 6 7 5 - Odd
1 2 4 3 7 5 6 - Odd
1 2 4 3 7 6 5 - Even
1 2 4 5 3 6 7 - Even
1 2 4 5 3 7 6 - Odd
1 2 4 5 6 3 7 - Odd
1 2 4 5 6 7 3 - Even
1 2 4 5 7 3 6 - Even
1 2 4 5 7 6 3 - Odd
1 2 4 6 3 5 7 - Odd
1 2 4 6 3 7 5 - Even
1 2 4 6 5 3 7 - Even
1 2 4 6 5 7 3 - Odd
1 2 4 6 7 3 5 - Odd
1 2 4 6 7 5 3 - Even
1 2 4 7 3 5 6 - Even
1 2 4 7 3 6 5 - Odd
1 2 4 7 5 3 6 - Odd
1 2 4 7 5 6 3 - Even
1 2 4 7 6 3 5 - Even
1 2 4 7 6 5 3 - Odd
1 2 5 3 4 6 7 - Even
1 2 5 3 4 7 6 - Odd
1 2 5 3 6 4 7 - Odd
1 2 5 3 6 7 4 - Even
1 2 5 3 7 4 6 - Even
1 2 5 3 7 6 4 - Odd
1 2 5 4 3 6 7 - Odd
1 2 5 4 3 7 6 - Even
1 2 5 4 6 3 7 - Even
1 2 5 4 6 7 3 - Odd
1 2 5 4 7 3 6 - Odd
1 2 5 4 7 6 3 - Even
1 2 5 6 3 4 7 - Even
1 2 5 6 3 7 4 - Odd
1 2 5 6 4 3 7 - Odd
1 2 5 6 4 7 3 - Even
1 2 5 6 7 3 4 - Even
1 2 5 6 7 4 3 - Odd
